"Sample","Chao1","Shannon","Simpson","Observed"
"X0c1a",14.5,0.92430665709407,0.357127031500476,13
"X0c1b",21.5,0.983262194293933,0.383896571048756,14
"X0c1c",28.2,1.14990833739498,0.408659046775013,21
"X0c2b",25.6666666666667,1.18995104477767,0.424480965475896,21
"X0c2c",21.5,0.933078456713856,0.357231294556165,14
"X0c3a",25.5,0.95127906612296,0.362705104979864,15
"X0c3b",24.5,0.87204722317169,0.334293422304474,14
"X0c3c",35,0.892860577554959,0.340444942590155,14
"X0s1a",26.2,1.02265888621719,0.369716795474983,19
"X0s1b",370.111111111111,3.12021380818705,0.828422108980959,94
"X0s1c",28,1.50296896035207,0.566122326630088,21
"X0s2a",41.5,1.51243724312984,0.545973491118091,25
"X0s2b",41.3333333333333,1.39679911096465,0.508803711764783,23
"X0s2c",35.2,1.23383353588333,0.453935278708181,22
"X0s3a",29,1.22479910458359,0.449764756480601,20
"X0s3b",23.5,1.28712041622695,0.451876083358313,21
"X0s3c",25.2,1.70086195597909,0.682688422890954,21
"X12c1b",24.6,1.46055136034675,0.626386372818621,19
"X12c1c",53,1.55571985627147,0.696816066936882,17
"X12c2a",64,2.22744827508605,0.838848414549909,25
"X12c2b",72,2.63042498122479,0.897548514903101,37
"X12c3a",17,1.54970650440432,0.681020213999922,14
"X12c3b",46.5,2.28937858467605,0.835094944545087,24
"X12c3c",15,1.3435585601924,0.579728655397568,13
"X12s1a",30,2.19395760317298,0.829230147662553,23
"X12s1b",23,1.21855544321194,0.553037313141055,16
"X12s1c",23.5,1.9456631963724,0.76810593126458,21
"X12s2a",29.3333333333333,2.12027188592564,0.834052313988192,20
"X12s2b",20,1.78129602356541,0.786273768718477,14
"X12s2c",33.25,1.81286940870371,0.699474774856964,22
"X12s3a",32,2.22447852185776,0.845390921294426,23
"X12s3b",33,2.13051353297851,0.838014310104393,21
"X15c1a",18.3333333333333,1.90327499138395,0.807543432079136,15
"X15c1b",12.3333333333333,1.72989663939442,0.763440159522475,12
"X15c1c",11.5,1.3342803395453,0.594534009305478,11
"X15c2a",16,0.620015491195621,0.244262273716587,11
"X15c2b",13.75,1.77400866839685,0.786273768718477,13
"X15c2c",11,1.15830470368655,0.490583742783042,11
"X15c3a",16,1.70452541460938,0.723715935304774,13
"X15c3b",12,1.47681320661926,0.639054334084896,11
"X15c3c",11,1.78678109804267,0.805041118742588,10
"X15s1a",26.5,2.3175341087803,0.870935369938354,23
"X15s1b",20.3333333333333,1.91753931913794,0.785126875105892,17
"X15s1c",121.5,2.6249719597429,0.886913683222771,36
"X15s2a",32,1.68371332600092,0.728094983643733,18
"X15s2b",19,1.31052902350509,0.562785908848024,14
"X15s2c",25,0.988588878582722,0.369039085613002,15
"X15s3a",17.5,1.84584523509611,0.75340484041236,16
"X15s3b",38,1.72555639932823,0.710422395704362,20
"X15s3c",18,1.06235829056357,0.429198868745846,16
"X18c1a",10,0.878129052618268,0.397372570996624,9
"X18c1b",15,0.787563569091108,0.340888060576835,10
"X18c1c",19,0.539040277381327,0.21413025062232,9
