Day ,,,Average_Moisture,,Average_Ash,,Average_Lipid,,Average Delta E,,Average_Peroxide Value,,Average-P-anisidine,,Average_Phenylalanine,,Average_Tryptophan,,Average_Leucine,,Average_Isoleucine,,Average_Methionine,,Average_Tryosine,,Average_Valine,,Average_proline,,Average_Threonine,,Average_Serine,,_Average_Glutamate,,Average_Aspartate,,Average_Histidine,,Average_Arginine,,Average_Cystine,,Average_Lysine,Brochothrix,Carnobacterium,Clostridium sensu stricto 1,Cupriavidus,Latilactobacillus,Leuconostoc,Photobacterium,Pseudomonas,Vibrio,Yersinia, n-Hexane,"2,3-Butanedione",2-Butanone,Cyclobutanemethanol,"2,3-Pentanedione", Hexanal, Cyclopentanone,Furfural,"2-Cyclopenten-1-one, 2-methyl-","Ethanone, 1-(2-furanyl)-",Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-", Pentadecane
0,,,63.4687932988593,,1.89220599736709,,28.1133775394997,,38.9033333333333,,0.04495237,,78.23253193,,26558.8,,3930.29,,85999.45,,37758.7,,16312.65,,10291.26,,50007.45,,39815.74,,31868.12,,48286.62,,92246.71,,72750.84,,21477.87,,36818.51,,1555.91,,65474.75,0,0.125,0.125,218.5,0,0,0,0.125,0,0,19729.2648,6996.318,23447.9238,6272.9324,5598.6798,6763.239,9788.7517,50475.2304,10334.779,6623.3195,5274.2963,9780.148,5134.0226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,65.3852693372967,,1.45308704335119,,28.9068953770202,,39.67,,0.04353391,,104.6741904,,19843,,2479.1,,62499.05,,26922.1,,12317.54,,6565.79,,35447.2,,27292.04,,26388.54,,32895.2,,67030.27,,51725.31,,14903.94,,25413.16,,1226.78,,47991.36,0.1,0.3,0.3,242.2,0,0,0,1.1,0,0.1,20541.2606,6454.0693,20072.7422,5312.888,6452.0463,5934.5391,10161.7621,57922.648,13152.7774,7826.1029,8996.1879,11332.5345,5380.9651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,65.117431023904,,3.18301766618486,,29.0823446748897,,39.28,,0.044368857,,96.62811213,,11819.11,,1463.35,,35670.94,,14693.96,,7556.56,,4537.01,,20600.27,,15809.28,,17270.1,,20155.5,,37930.81,,29794.91,,8641.27,,14496.73,,615.61,,27914.86,14.75,19,0.125,129.625,3.625,12.375,19.625,0.25,0.25,0.625,17910.3484,7143.7086,11908.4588,5291.069,4884.5384,7020.5044,6268.5763,24792.11,8630.0753,4973.612,5940.4667,6165.0624,3409.2856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,69.932333760608,,2.42028361532496,,23.9116845421878,,40.4566666666667,,0.031493605,,89.70917666,,22736.86,,3666.64,,68631.08,,29097.96,,15517.08,,7923.31,,37903.03,,31650.46,,28265.61,,37148.08,,74295,,58840.11,,16855.83,,28567.2,,1508.26,,51725.36,0.375,29.375,0,2.25,0,139,0,0.375,0,1.625,14930.8936,30155.5296,17051.7312,4847.2802,3401.3959,1963.9438,7126.5152,3624.1926,6213.7698,937.4225,2449.84925789474,77.28,3380.685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,66.9312638410805,,2.65552625487296,,21.0240092910299,,41.05,,0.034930168,,101.195,,17454.62,,2144.08,,53384.5,,20911.08,,7862.95,,6352.26,,28352.3,,23817.74,,42837.57,,31226.53,,58186.08,,45898.65,,12660.79,,21381,,1384.95,,40833.17,0.125,1,0,0,179.625,41.875,0,0,0,3.625,17160.3894,41562.5588,731817.2288,5546.7944,3075.0076,837.7915,5884.599,1935.8913,6002.2935,896.9877,10590.7785740157,88.1356,3566.5805
