Day ,,,Average_Moisture,,Average_Ash,,Average_Lipid,,Average Delta E,,Average_Peroxide Value,,Average-P-anisidine,,Average_Phenylalanine,,Average_Tryptophan,,Average_Leucine,,Average_Isoleucine,,Average_Methionine,,Average_Tryosine,,Average_Valine,,Average_proline,,Average_Threonine,,Average_Serine,,_Average_Glutamate,,Average_Aspartate,,Average_Histidine,,Average_Arginine,,Average_Cystine,,Average_Lysine,Brochothrix,Carnobacterium,Clostridium sensu stricto 1,Cupriavidus,Latilactobacillus,Leuconostoc,Photobacterium,Pseudomonas,Vibrio,Yersinia, n-Hexane,"2,3-Butanedione",2-Butanone,Cyclobutanemethanol,"2,3-Pentanedione", Hexanal, Cyclopentanone,Furfural,"2-Cyclopenten-1-one, 2-methyl-","Ethanone, 1-(2-furanyl)-",Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-", Pentadecane
0,,,68.9334805619853,,1.69112340533298,,13.2915089918647,,42.6333333333333,,0.044337546,,78.23253193,,27684.44,,3871.58,,91967.15,,39056.43,,22091.44,,11621.07,,49801.26,,38819.73,,37199.27,,47284.47,,101592.74,,76806.12,,22474.82,,37155.61,,2347.36,,68936.47,5.22,1.67,3.22,181.67,0,0,16.78,3.78,0,2.55555555555556,16165.303,11453.0864,20174.5852,18437.44,10825.8297,6829.7768,10625.4568,61711.9888,13019.4582,8472.1896,6878.0537,12698.6286,8883.5404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,68.9119868574197,,1.92473583794407,,11.0412042887121,,35.22,,0.045230369,,110.9519143,,18287.65,,2274.14,,57659.83,,23282.5,,12138.38,,7221.45,,30979.6,,25689.65,,20831.19,,32148.31,,62341.16,,48154.4,,14243.49,,24078.66,,1215.87,,44271.5,66.86,10.43,0,113.43,0.14,0,22.43,4.43,0,13.4285714285714,17576.4988,11942.3738,16713.3582,15166.1888,8193.0457,6303.3236,10269.3388,69453.5352,16458.8424,10616.9966,7617.295,15071.1596,9617.7557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,70.9518443437918,,2.64906526612162,,15.7079365520249,,39.2366666666667,,0.050310258,,93.16669947,,23547.85,,3142.93,,76869.97,,31174.53,,14844.48,,9364.23,,42017.83,,33717.27,,51774.97,,38143.9,,84132.06,,61118.7,,18764.04,,31699.74,,1428.76,,55590.54,60.13,13.25,0,0.38,0.75,0,166.5,0,34.5,3.875,16564.4206,149622.6928,44638.6808,14142.856,18037.173,2687.9944,8687.9639,5888.8823,8637.685,5433.3671,11581.9032,651.9863,2925.5359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,70.0444652058724,,3.1394508797129,,15.1933194691155,,42.7433333333333,,0.037786064,,84.0841226,,26846.5,,4166.77,,92079.41,,41036.31,,31675.87,,10515.01,,52401.49,,40460.22,,53457.41,,49084.26,,99002.12,,73779.46,,21336.21,,37493.95,,1890.33,,67184.25,49.22,29.89,0,2,0.89,0.22,101.33,0.56,3.78,24,13089.671,148095.36,190587.6,24492.4456,14731.983,2898.9905,7702.2561,4082.2327,8596.9331,1102.1633,1231.8663,9506.898428125,3934.9856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,70.1259728948799,,2.83764336544532,,8.85992082267798,,47.0633333333333,,0.043404873,,90.71159937,,21236.61,,3166.1,,72130.23,,30724.84,,17140.68,,8372.27,,40648.78,,31114.2,,30238.07,,39557.22,,77942.79,,56914.16,,16828,,28535.21,,1492.67,,52138.46,62.2,70.5,0,0.1,1.9,0.1,0.1,0,0.2,47.8,14450.807,167501.5888,545226.752,9940.2912,20668.1692,913.0422,7746.2175,5349.4287,7940.0804,900.9266,1196.517,137.6123,3377.0198
