Day ,,,Average_Moisture,,Average_Ash,,Average_Lipid,,Average Delta E,,Average_Peroxide Value,,Average-P-anisidine,,Average_Phenylalanine,,Average_Tryptophan,,Average_Leucine,,Average_Isoleucine,,Average_Methionine,,Average_Tryosine,,Average_Valine,,Average_proline,,Average_Threonine,,Average_Serine,,_Average_Glutamate,,Average_Aspartate,,Average_Histidine,,Average_Arginine,,Average_Cystine,,Average_Lysine,Bradyrhizobium,Brochothrix,Carnobacterium,Clostridium sensu stricto 1,Cupriavidus,Latilactobacillus,Leuconostoc,Photobacterium,Pseudomonas,Yersinia, n-Hexane,"2,3-Butanedione",2-Butanone,Cyclobutanemethanol,"2,3-Pentanedione", Hexanal, Cyclopentanone,Furfural,"2-Cyclopenten-1-one, 2-methyl-","Ethanone, 1-(2-furanyl)-",Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-", Pentadecane
0,,,68.9334805619853,,1.69112340533298,,13.2915089918647,,42.6333333333333,,0.044337546,,78.23253193,,27684.44,,3871.58,,91967.15,,39056.43,,22091.44,,11621.07,,49801.26,,38819.73,,37199.27,,47284.47,,101592.74,,76806.12,,22474.82,,37155.61,,2347.36,,68936.47,0.0392162618572317,0.0191269109446731,0.00650465052377947,0.0130649567596109,0.665581676538314,0,0,0.0614883166978244,0.0125869613279724,0.00836197675486655,16165.303,11453.0864,20174.5852,18437.44,10825.8297,6829.7768,10625.4568,61711.9888,13019.4582,8472.1896,6878.0537,12698.6286,8883.5404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,68.9119868574197,,1.92473583794407,,11.0412042887121,,35.22,,0.045230369,,110.9519143,,18287.65,,2274.14,,57659.83,,23282.5,,12138.38,,7221.45,,30979.6,,25689.65,,20831.19,,32148.31,,62341.16,,48154.4,,14243.49,,24078.66,,1215.87,,44271.5,0.0347513239066674,0.248435668245718,0.0388473029338687,0.000582598305298141,0.421161122686705,0.000589101620029456,0,0.0816366833021761,0.0164963019844631,0.0496632624389157,17576.4988,11942.3738,16713.3582,15166.1888,8193.0457,6303.3236,10269.3388,69453.5352,16458.8424,10616.9966,7617.295,15071.1596,9617.7557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,70.9518443437918,,2.64906526612162,,15.7079365520249,,39.2366666666667,,0.050310258,,93.16669947,,23547.85,,3142.93,,76869.97,,31174.53,,14844.48,,9364.23,,42017.83,,33717.27,,51774.97,,38143.9,,84132.06,,61118.7,,18764.04,,31699.74,,1428.76,,55590.54,0,0.209565081386796,0.0474753986003202,0,0.00163597329452727,0.00274239112725862,0,0.565649273102074,0,0.0136348752095114,16564.4206,149622.6928,44638.6808,14142.856,18037.173,2687.9944,8687.9639,5888.8823,8637.685,5433.3671,11581.9032,651.9863,2925.5359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,70.0444652058724,,3.1394508797129,,15.1933194691155,,42.7433333333333,,0.037786064,,84.0841226,,26846.5,,4166.77,,92079.41,,41036.31,,31675.87,,10515.01,,52401.49,,40460.22,,53457.41,,49084.26,,99002.12,,73779.46,,21336.21,,37493.95,,1890.33,,67184.25,0.000726243869855838,0.215428688567464,0.15538761436324,0,0.00949002235437213,0.00535946203963177,0.00104493207941484,0.401039609553854,0.00543616559612937,0.134131374517945,13089.671,148095.36,190587.6,24492.4456,14731.983,2898.9905,7702.2561,4082.2327,8596.9331,1102.1633,1231.8663,9506.898428125,3934.9856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,70.1259728948799,,2.83764336544532,,8.85992082267798,,47.0633333333333,,0.043404873,,90.71159937,,21236.61,,3166.1,,72130.23,,30724.84,,17140.68,,8372.27,,40648.78,,31114.2,,30238.07,,39557.22,,77942.79,,56914.16,,16828,,28535.21,,1492.67,,52138.46,0,0.298485256735002,0.347023604003102,0,0.000847138016628401,0.00780717930953862,0.000548207813347069,0.000269034167339252,0,0.232445490267344,14450.807,167501.5888,545226.752,9940.2912,20668.1692,913.0422,7746.2175,5349.4287,7940.0804,900.9266,1196.517,137.6123,3377.0198
