Day ,,Average_Leucine,,Average_Phenylalanine,,Average_Methionine,,Average_Tryosine,,Average_Proline,,Average_Peroxide value,,Average_P-anisidine,,Average_TMA,Aminobacter,Bradyrhizobium,Cupriavidus,Hydrotalea,Mesorhizobium,Pseudaminobacter,Pseudomonas,Ramlibacter,Sphingopyxis,Yersinia,,Average Lipase activity,,Average_Protease Activity,"2,3-Butanedione",2-Butanone,Ethyl Acetate,"Cyclobutene, 2-propenylidene-",hexanal,Cyclopentanone,fufural,"2-Cyclopenten-1-one, 2-methyl-",Benzaldehyde,Pentadecane
1,,28482.31268,,12891.77632,,1512.00225,,12484.37084,,13140.56016,,0.0368625627791061,,1.39802566922222,,3164.56492633333,290.375,367.555555555556,1389.55555555556,382.25,143.857142857143,1376.875,119.875,230.666666666667,145.25,159,,1.3822865785624,,0.0177660534726852,82.4838213382412,182.010253958893,93.318693005856,80.8597976860258,139.247515005244,38.83192434049,1466.69240594495,206.105513282407,143.507782075998,34.5947577780845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,32287.16403,,15722.15435,,1645.044474,,36121.64099,,13173.83729,,0.0280579908155907,,1.14497467455556,,3630.66446188889,80,418.5,162.428571428571,202.375,256.166666666667,149,356.777777777778,70,977.875,137.333333333333,,2.43222335176415,,0.0695719748764349,90.4376565974236,234.897629685822,125.821259825015,73.9084193596768,285.36119651047,51.0969832886174,1628.75428744428,225.827802832701,168.271628414728,3.28937416456986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,19651.30355,,30204.97177,,1563.756177,,3830.654278,,8676.997207,,0.0195719002618695,,1.32692770633333,,4064.526782,62.5,407,175.571428571429,175.857142857143,153,207.166666666667,1422.5,151,711.5,360.666666666667,,3.16282760159679,,0.232796227842293,82.8489364061478,204.900861823462,101.758640417436,68.0561770965488,543.788613128923,2.78712224532761,1429.32675304702,211.641884746353,151.669863904191,2.18682146400199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,40742.21409,,14660.59388,,2043.532138,,10656.71831,,14025.45758,,0.0378524801700254,,0.520969017555556,,3959.48891166667,0,0,0,0,0,0,4826.625,0,0,84,,0.099526418883737,,0.0832833793232129,1352.17237376768,199.405524634579,69.1600785011183,148.98380320292,43.3479378893916,3.44774710040053,142.736795679359,212.947781408092,99.8247670140302,2.71326966043827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,23171.21876,,11217.04907,,6031.302294,,8249.082149,,14904.96354,,0.0369553873012259,,0.242756464611111,,4432.496658,0,0,0,0,0,0,3544.77777777778,0,0,798.444444444445,,1.59590389526667,,0.0969057111915874,8253.97292986875,258.085907638171,801.112809539707,2179.02108346542,34.5368903979698,5.36452382236278,100.99188351236,170.527658100998,55.9231203171062,3.66490529270053
