Day ,,Average_Leucine,,Average_Phenylalanine,,Average_Methionine,,Average_Tryosine,,Average_Proline,,Average_Peroxide value,,Average_P-anisidine,,Average_TMA,Aminobacter,Bradyrhizobium,Cupriavidus,Hydrotalea,Mesorhizobium,Pseudaminobacter,Pseudomonas,Ramlibacter,Sphingopyxis,Yersinia,,Average Lipase activity,,Average_Protease Activity,"2,3-Butanedione",2-Butanone,Ethyl Acetate,"Cyclobutene, 2-propenylidene-",hexanal,Cyclopentanone,fufural,"2-Cyclopenten-1-one, 2-methyl-",Benzaldehyde,Pentadecane
1,,37971.9408,,20735.23177,,3833.493609,,10072.17971,,17695.40481,,0.0375330499576202,,0.727763134444445,,2837.80686988889,300,425.777777777778,1579,513.555555555556,178.875,1090.88888888889,91.7777777777778,330.222222222222,169.444444444444,0,,0.940070913193325,,0.0830037162271078,63.3349374051822,168.174868464991,63.0723938603505,52.0624056393793,227.764287363003,26.5563979173261,1105.55626909074,116.145191624337,115.835794560083,3.07745386066498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,14348.50581,,16081.71051,,8013.289587,,9526.914007,,10152.60979,,0.0435750249851354,,0.836378648277778,,3162.90115988889,63,636.4,154.5,244.5,187.666666666667,232.25,1144.2,1222.25,0,0,,0.880265800500856,,0.0573128862657962,51.0491891228911,168.002977284174,51.364857982862,40.1157533655687,214.551523713405,1.17549907836534,838.693960438962,127.157784478073,106.508726370872,2.30076737074993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,20257.2303,,16844.61995,,3772.302626,,5428.851647,,9338.204002,,0.0388705453717409,,0.8274947275,,3220.0969745,65,408.166666666667,151.25,151.25,220,115.5,2226.11111111111,697.285714285714,239.4,0,,0.929210780788971,,0.100514588367025,1956.57811587375,265.345417921475,68.9770276379156,765.020532606779,470.927479994517,1.9916767015892,650.130906752386,100.967412780367,89.3041659938312,2.63721999260363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,35886.7183,,15407.92112,,11081.22078,,12717.20504,,15104.85101,,0.0338767600288436,,0.457271847,,5369.37489733333,0,0,0,0,0,0,4196.11111111111,0,0,400.5,,0.169150281421239,,0.0340471653653182,6849.13732713392,1371.74117916367,1043.11401813448,1335.70990727972,2.50684302088525,3.46564193947694,63.6322600739183,52.0679910203748,33.4663108516528,1.70679724796934
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,85186.03698,,24606.46451,,19780.84178,,26725.07297,,94029.86336,,0.0466557870633927,,0.398982941777778,,6535.61087266667,0,0,0,0,0,0,3314.77777777778,0,0,1039.25,,0.886365326919739,,0.0855713583052321,4171.13799235786,424.814774264303,986.976485525039,1008.22820337384,93.1526716824103,10.1548072587457,39.0270391338391,68.8723716615564,35.3624906058473,1.88619141159264
