Day ,,Average_Leucine,,Average_Phenylalanine,,Average_Methionine,,Average_Tryosine,,Average_Proline,,Average_Peroxide value,,Average_P-anisidine,,Average_TMA,Aminobacter,Bradyrhizobium,Cupriavidus,Hydrotalea,Mesorhizobium,Pseudaminobacter,Pseudomonas,Ramlibacter,Sphingopyxis,Yersinia,,Average Lipase activity,,Average_Protease Activity,"2,3-Butanedione",2-Butanone,Ethyl Acetate,"Cyclobutene, 2-propenylidene-",hexanal,Cyclopentanone,fufural,"2-Cyclopenten-1-one, 2-methyl-",Benzaldehyde,Pentadecane
1,,23499.8173,,12544.39521,,2315.143945,,9551.351403,,9993.886403,,0.0388477741090744,,0.761219084111111,,2459.85475877778,282.222222222222,390.888888888889,1596.11111111111,385.777777777778,127.142857142857,1282.33333333333,88.5555555555556,291.666666666667,171.888888888889,0,,2.23748481317101,,0.0610683031557968,60.6223762688024,184.185927312165,49.6317750185039,32.9601132770447,298.516245764312,27.7578037082482,692.214023690054,117.057509655807,104.916754918738,2.26555333661997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,27757.10533,,18663.63801,,2653.423841,,11950.20322,,12069.49975,,0.0423067921616254,,0.847276162444445,,2762.44402277778,96,401,128.714285714286,222,154.142857142857,161,1260.375,97.5,1112.42857142857,104.6,,2.54870942947113,,0.0242332801459175,60.2203858773086,196.517993347643,62.7776161021016,67.763464556454,381.370226069143,4.80652536296568,603.235135956708,77.8596289855134,110.724716279754,3.34565975992678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,31704.79093,,13394.8777,,2230.654788,,9839.450457,,12422.98602,,0.0274194466583172,,0.775310477666667,,2994.54908633333,60,375.666666666667,436.75,256.25,126,126.8,2947.5,114,567.428571428571,84.5,,2.54841189159703,,0.268354009143035,2773.80205340362,249.338900150167,82.0804043524497,45.8831768969144,273.574351063986,60.463423875062,358.507539288702,74.8109443257531,79.7239287479085,3.01002345502051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,37031.74408,,19210.0404,,5458.477866,,13790.77597,,15327.56415,,0.0212954002049414,,0.503254642833333,,7716.35727033333,0,0,0,0,0,0,4517.875,0,0,505.2,,0.0678386352929508,,0.0260024685139939,7663.30815726139,625.025578932978,1510.04547384738,1158.21774717953,17.2958755408361,4.42349015095802,86.6069512491028,49.8928079254492,40.659844444984,2.98082138698587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,101012.2967,,25381.08552,,23223.11008,,33738.5489,,48181.48027,,0.0323323465786178,,0.0846927023333333,,8245.42576488889,0,0,0,0,0,0,2736.77777777778,0,0,1671.88888888889,,2.22647591182961,,0.211303914264975,6393.06003169043,196.332265194121,1153.71052681729,1423.99381845945,47.9717207667338,4.2551713397247,46.8028646919652,79.4598846921709,56.7045220431986,3.27183717336036
