"","sample","treatment","day","replicate"
"1","914","914",NA,"914"
"2","A-0-1-1","A","0","1-1"
"3","A-0-1-2","A","0","1-2"
"4","A-0-1-3","A","0","1-3"
"5","A-0-2-1","A","0","2-1"
"6","A-0-2-2","A","0","2-2"
"7","A-0-2-3","A","0","2-3"
"8","A-0-3-1","A","0","3-1"
"9","A-0-3-2","A","0","3-2"
"10","A-0-3-3","A","0","3-3"
"11","A-12-1-1","A","12","1-1"
"12","A-12-1-2","A","12","1-2"
"13","A-12-1-3","A","12","1-3"
"14","A-12-2-1","A","12","2-1"
"15","A-12-2-2","A","12","2-2"
"16","A-12-2-3","A","12","2-3"
"17","A-12-3-1","A","12","3-1"
"18","A-12-3-2","A","12","3-2"
"19","A-15-1-1","A","15","1-1"
"20","A-15-1-2","A","15","1-2"
"21","A-15-1-3","A","15","1-3"
"22","A-15-2-1","A","15","2-1"
"23","A-15-2-2","A","15","2-2"
"24","A-15-2-3","A","15","2-3"
"25","A-15-3-1-2","A","15","1-2"
"26","A-15-3-2","A","15","3-2"
"27","A-15-3-3","A","15","3-3"
"28","A-3-1-1","A","3","1-1"
"29","A-3-1-2","A","3","1-2"
"30","A-3-1-3","A","3","1-3"
"31","A-3-2-1","A","3","2-1"
"32","A-3-2-2","A","3","2-2"
"33","A-3-2-3","A","3","2-3"
"34","A-3-3-1","A","3","3-1"
"35","A-3-3-2","A","3","3-2"
"36","A-3-3-3","A","3","3-3"
"37","A-6-1-1","A","6","1-1"
"38","A-6-1-2","A","6","1-2"
"39","A-6-1-3","A","6","1-3"
"40","A-6-2-1","A","6","2-1"
"41","A-6-2-2","A","6","2-2"
"42","A-6-2-3","A","6","2-3"
"43","A-6-3-1","A","6","3-1"
"44","A-6-3-2","A","6","3-2"
"45","A-6-3-3","A","6","3-3"
"46","B-0-1-1","B","0","1-1"
"47","B-0-1-2","B","0","1-2"
"48","B-0-1-3","B","0","1-3"
"49","B-0-2-1","B","0","2-1"
"50","B-0-2-2","B","0","2-2"
"51","B-0-2-3","B","0","2-3"
"52","B-0-3-1","B","0","3-1"
"53","B-0-3-2","B","0","3-2"
"54","B-0-3-3","B","0","3-3"
"55","B-12-1-1","B","12","1-1"
"56","B-12-1-3","B","12","1-3"
"57","B-12-2-1","B","12","2-1"
"58","B-12-2-2","B","12","2-2"
"59","B-12-2-3","B","12","2-3"
"60","B-12-3-1","B","12","3-1"
"61","B-12-3-2","B","12","3-2"
"62","B-12-3-3","B","12","3-3"
"63","B-15-1-1","B","15","1-1"
"64","B-15-1-2","B","15","1-2"
"65","B-15-1-3","B","15","1-3"
"66","B-15-2-1","B","15","2-1"
"67","B-15-2-2","B","15","2-2"
"68","B-15-2-3","B","15","2-3"
"69","B-15-3-1","B","15","3-1"
"70","B-15-3-2","B","15","3-2"
"71","B-15-3-3","B","15","3-3"
"72","B-3-1-1","B","3","1-1"
"73","B-3-1-2","B","3","1-2"
"74","B-3-1-3","B","3","1-3"
"75","B-3-2-1","B","3","2-1"
"76","B-3-2-2","B","3","2-2"
"77","B-3-2-3","B","3","2-3"
"78","B-3-3-1","B","3","3-1"
"79","B-3-3-2","B","3","3-2"
"80","B-3-3-3","B","3","3-3"
"81","B-6-1-1","B","6","1-1"
"82","B-6-1-2","B","6","1-2"
"83","B-6-2-1","B","6","2-1"
"84","B-6-2-2","B","6","2-2"
"85","B-6-2-3","B","6","2-3"
"86","B-6-3-1","B","6","3-1"
"87","B-6-3-2","B","6","3-2"
"88","B-6-3-3","B","6","3-3"
"89","C-0-1-1","C","0","1-1"
"90","C-0-1-2","C","0","1-2"
"91","C-0-1-3","C","0","1-3"
"92","C-0-2-1","C","0","2-1"
"93","C-0-2-2","C","0","2-2"
"94","C-0-2-3","C","0","2-3"
"95","C-0-3-1","C","0","3-1"
"96","C-0-3-2","C","0","3-2"
"97","C-0-3-3","C","0","3-3"
"98","C-10-1-1","C","10","1-1"
"99","C-10-1-2","C","10","1-2"
"100","C-10-1-3","C","10","1-3"
"101","C-10-2-1","C","10","2-1"
"102","C-10-2-2","C","10","2-2"
"103","C-10-2-3","C","10","2-3"
"104","C-10-3-1","C","10","3-1"
"105","C-10-3-2","C","10","3-2"
"106","C-10-3-3","C","10","3-3"
"107","C-2-1-1","C","2","1-1"
"108","C-2-1-2","C","2","1-2"
"109","C-2-1-3","C","2","1-3"
"110","C-2-2-1","C","2","2-1"
"111","C-2-2-2","C","2","2-2"
"112","C-2-2-3","C","2","2-3"
"113","C-2-3-1","C","2","3-1"
"114","C-2-3-2","C","2","3-2"
"115","C-2-3-3","C","2","3-3"
"116","C-4-1-1","C","4","1-1"
"117","C-4-1-2","C","4","1-2"
"118","C-4-1-3","C","4","1-3"
"119","C-4-2-1","C","4","2-1"
"120","C-4-2-2","C","4","2-2"
"121","C-4-2-3","C","4","2-3"
"122","C-4-3-1","C","4","3-1"
"123","C-4-3-2","C","4","3-2"
"124","C-4-3-3","C","4","3-3"
"125","C-6-1-1","C","6","1-1"
"126","C-6-1-2","C","6","1-2"
"127","C-6-1-3","C","6","1-3"
"128","C-6-2-1","C","6","2-1"
"129","C-6-2-2","C","6","2-2"
"130","C-6-2-3","C","6","2-3"
"131","C-6-3-1","C","6","3-1"
"132","C-6-3-2","C","6","3-2"
"133","C-6-3-3","C","6","3-3"
"134","C-8-1-1","C","8","1-1"
"135","C-8-1-2","C","8","1-2"
"136","C-8-1-3","C","8","1-3"
"137","C-8-2-1","C","8","2-1"
"138","C-8-2-2","C","8","2-2"
"139","C-8-2-3","C","8","2-3"
"140","C-8-3-1","C","8","3-1"
"141","C-8-3-2","C","8","3-2"
"142","C-8-3-3","C","8","3-3"
"143","E-0-1-1","E","0","1-1"
"144","E-0-1-2","E","0","1-2"
"145","E-0-1-3","E","0","1-3"
"146","E-0-2-1","E","0","2-1"
"147","E-0-2-2","E","0","2-2"
"148","E-0-2-3","E","0","2-3"
"149","E-0-3-1","E","0","3-1"
"150","E-0-3-2","E","0","3-2"
"151","E-0-3-3","E","0","3-3"
"152","E-12-1-1","E","12","1-1"
"153","E-12-1-2","E","12","1-2"
"154","E-12-1-3","E","12","1-3"
"155","E-12-2-1","E","12","2-1"
"156","E-12-2-2","E","12","2-2"
"157","E-12-2-3","E","12","2-3"
"158","E-12-3-1","E","12","3-1"
"159","E-12-3-2","E","12","3-2"
"160","E-12-3-3","E","12","3-3"
"161","E-15-1-1","E","15","1-1"
"162","E-15-1-2","E","15","1-2"
"163","E-15-1-3","E","15","1-3"
"164","E-15-2-1","E","15","2-1"
"165","E-15-2-2","E","15","2-2"
"166","E-15-2-3","E","15","2-3"
"167","E-15-3-1","E","15","3-1"
"168","E-15-3-2","E","15","3-2"
"169","E-15-3-3","E","15","3-3"
"170","E-3-1-1","E","3","1-1"
"171","E-3-1-2","E","3","1-2"
"172","E-3-1-3","E","3","1-3"
"173","E-3-2-1","E","3","2-1"
"174","E-3-2-2","E","3","2-2"
"175","E-3-2-3","E","3","2-3"
"176","E-3-3-2","E","3","3-2"
"177","E-3-3-3","E","3","3-3"
"178","E-6-1-1","E","6","1-1"
"179","E-6-1-2","E","6","1-2"
"180","E-6-1-3","E","6","1-3"
"181","E-6-2-1","E","6","2-1"
"182","E-6-2-2","E","6","2-2"
"183","E-6-2-3","E","6","2-3"
"184","E-6-3-1","E","6","3-1"
"185","E-6-3-2","E","6","3-2"
"186","E-6-3-3","E","6","3-3"
"187","I-0-1-1","I","0","1-1"
"188","I-0-1-2","I","0","1-2"
"189","I-0-1-3","I","0","1-3"
"190","I-0-2-1","I","0","2-1"
"191","I-0-2-3","I","0","2-3"
"192","I-0-3-1","I","0","3-1"
"193","I-0-3-2","I","0","3-2"
"194","I-0-3-3","I","0","3-3"
"195","PCTL-B","PCTL","B","L-B"
"196","RB-0-1-1","RB","0","1-1"
"197","RB-0-1-2","RB","0","1-2"
"198","RB-0-1-3","RB","0","1-3"
"199","RB-0-2-1","RB","0","2-1"
"200","RB-0-2-2","RB","0","2-2"
"201","RB-0-2-3","RB","0","2-3"
"202","RB-0-3-1","RB","0","3-1"
"203","RB-0-3-2","RB","0","3-2"
"204","RB-0-3-3","RB","0","3-3"
"205","SC-10","SC","10","-10"
"206","SC-2-1-1","SC","2","1-1"
"207","SC-2-1-2","SC","2","1-2"
"208","Undetermined","Undetermined",NA,"ned"
