"","input","filtered","denoisedF","denoisedR","merged","nochim"
"0c1a",36726,32033,31906,31961,31813,31376
"0c1b",40350,35045,34929,34926,34772,34037
"0c1c",55378,47660,47479,47484,47209,46352
"0c2a",49,15,6,6,6,6
"0c2b",43463,37771,37614,37628,37398,36630
"0c2c",17068,15011,14956,14946,14895,14728
"0c3a",52343,46325,46229,46228,46047,45588
"0c3b",40383,35483,35345,35354,35222,34796
"0c3c",55825,48447,48349,48352,48164,47470
"0s1a",55346,44975,44816,44833,44544,43804
"0s1b",42307,14775,14692,14659,13860,13052
"0s1c",23738,6143,6010,6037,5527,5343
"0s2a",47633,26660,26525,26475,25797,25200
"0s2b",44958,27773,27561,27553,26746,25512
"0s2c",28193,24321,24265,24252,24135,24030
"0s3a",51296,34992,34731,34792,34089,33398
"0s3b",47354,14574,14451,14445,13720,13271
"0s3c",32949,17237,17053,17077,16409,15669
"12c1a",25,10,1,2,0,0
"12c1b",58371,49784,49524,49520,47661,43171
"12c1c",24637,21142,20999,21009,20213,17851
"12c2a",76427,66787,66304,66211,62308,45393
"12c2b",67724,57443,57405,57335,56845,56254
"12c3a",12988,11388,11293,11323,10843,9931
"12c3b",41208,35505,35124,35162,32491,23448
"12c3c",55100,48277,48150,48118,46555,42818
"12s1a",40552,35431,35186,35059,32850,23095
"12s1b",37167,32519,32350,32382,30902,27919
"12s1c",16852,14619,14523,14483,13722,11253
"12s2a",70350,57544,57126,57240,54885,46373
"12s2b",26382,21960,21782,21702,20561,17716
"12s2c",27117,20841,20669,20671,18979,17436
"12s3a",62701,56311,55748,55896,52486,37043
"12s3b",96460,85588,85102,84953,80894,51702
"15c1a",17489,15753,15643,15638,14509,10825
"15c1b",26765,24337,24227,24210,22995,18500
"15c1c",23862,21828,21687,21747,20083,16682
"15c2a",54554,49850,49701,49729,49098,45379
"15c2b",60079,55227,55005,55110,52219,40276
"15c2c",32937,30472,30366,30387,29037,24609
"15c3a",27385,23303,23181,23190,22530,20622
"15c3b",21953,19979,19889,19919,19231,17560
"15c3c",78693,70489,70263,70178,65621,46489
"15s1a",36037,32443,32098,32194,30660,22141
"15s1b",30082,27176,26927,26890,25016,20465
"15s1c",41751,34470,34190,34184,32488,27098
"15s2a",21472,19567,19430,19413,18795,15434
"15s2b",55266,48484,48208,48231,46530,39460
"15s2c",18213,16701,16636,16631,16087,14614
"15s3a",43357,39274,38958,38993,37394,25253
"15s3b",40335,36793,36564,36539,35080,28068
"15s3c",55204,50913,50711,50704,49447,44908
"18c1a",32616,30396,30347,30256,29816,24623
"18c1b",44027,41133,41001,41043,40398,32837
"18c1c",33542,31068,30987,31014,30537,27592
"18c2a",59576,55476,55299,55329,54306,43507
"18c2b",14248,13220,13133,13108,12730,9523
"18c2c",74,60,54,44,36,36
"18c3a",35085,32389,32090,32041,30836,23647
"18c3b",56731,52722,52502,52552,51054,38160
"18c3c",9129,8487,8378,8453,8183,6764
"18s1a",38120,33626,33355,33410,32171,23834
"18s1b",73298,63668,63404,63295,60588,47030
"18s1c",28163,24878,24529,24565,23030,16867
"18s2a",446721,378291,377286,376945,349322,273396
"18s2b",18987,16961,16865,16828,16011,11943
"18s2c",61490,52754,52404,52526,49726,38081
"18s3a",83461,75132,74716,74916,72351,50949
"18s3b",58481,52486,52132,52177,48884,35625
"18s3c",44205,39630,39123,39198,37006,25987
"3c1a",14315,12346,12275,12270,12219,12113
"3c1a-2",37700,28656,28324,28566,27549,27216
"3c1b",49574,43004,42903,42897,42754,42397
"3c1c",69178,60141,60043,59998,59693,59046
"3c2a",64003,55710,55620,55567,55199,54772
"3c2b",15866,13616,13543,13538,13491,13405
"3c2c",13547,11640,11569,11540,11481,11384
"3c3a",16833,14669,14592,14614,14509,14453
"3c3b",40430,35049,34946,34943,34710,34349
"3c3c",31592,27609,27477,27484,27313,27126
"3s1b",16755,3700,3629,3602,3267,3148
"3s1c",55309,31573,31242,31163,29654,25688
"3s2a",18698,11376,11264,11236,11032,10861
"3s2b",73864,47666,47356,47427,46228,44259
"3s2c",71273,44179,43883,43894,41988,38397
"3s3b",18935,12659,12466,12468,12014,11312
"3s3c",41159,30592,30286,30320,29505,27887
"6c1a",41558,36150,36002,35972,35369,34222
"6c1b",62823,55611,55241,55210,52972,46122
"6c1c",35804,29961,29728,29693,29224,28297
"6c2a",61492,53081,52843,52861,51840,49505
"6c2b",97477,84197,83616,83797,81938,74425
"6c2c",27999,23774,23534,23556,23028,21190
"6c3a",26666,22748,22501,22446,21985,20107
"6c3b",57078,50076,49701,49751,48493,40560
"6c3c",185,118,95,88,86,81
"6s1a",29179,26381,26196,26232,25278,22668
"6s1b",36104,32682,32505,32478,31110,26418
"6s1c",53874,49002,48847,48752,47433,40063
"6s2a",40078,35943,35720,35646,34334,26950
"6s2b",59034,54622,54263,54341,52491,44407
"6s2c",40526,37186,36901,36821,35439,26524
"6s3a",39184,35193,34967,34939,33832,27667
"6s3b",50375,45837,45515,45552,44182,36456
"6s3c",31171,28530,28378,28240,27233,23230
"917",18,10,3,1,0,0
"9c1a",35034,31393,31197,31180,30300,27619
"9c1b",73991,64479,64193,64100,62465,57961
"9c1c",96063,82165,81929,81953,77074,69674
"9c2a",49,32,7,1,0,0
"9c2b",21671,19432,19227,19285,18958,18252
"9c2c",47194,38843,38680,38656,38109,36590
"9c3a",26144,22948,22695,22755,22031,20783
"9c3b",56309,48542,48371,48303,47714,46828
"9c3c",75087,65051,64856,64849,64040,62425
"9s1a",51664,45562,45342,45184,43762,34506
"9s1b",34356,28700,28503,28434,27265,21933
"9s1c",65272,55596,55450,55362,54177,50902
"9s2a",22610,20262,19916,20061,18727,14225
"9s2b",18250,16194,16056,15909,14981,12636
"9s2c",35838,32279,32068,31988,30151,21736
"9s3a",38526,34840,34671,34687,33784,31228
"9s3b",26792,24204,24119,24066,23648,21577
"9s3c",62866,55263,54955,54927,52628,40326
"A1-0",22622,2641,2603,2613,2210,2179
"A1-15",37691,18117,17959,17948,17196,15541
"A1-21",26030,23547,23438,23442,22703,18801
"A1-3",30434,1069,1038,1021,525,518
"A1-6",127127,2751,2726,2726,1123,978
"A2-0",45182,18220,18091,18134,17457,16853
"A2-15",45342,1116,1099,1098,1098,1061
"A2-21",27593,24837,24612,24666,23654,18309
"A2-3",123196,9419,9350,9339,6993,6805
"A2-6",30508,4502,4465,4436,3784,3707
"A3-0",20014,3849,3820,3811,3616,3616
"A3-15",14771,10163,10077,10036,9488,7826
"A3-21",34973,30685,30483,30484,29443,25599
"A3-3",5139,373,333,320,169,169
"A3-6",21091,1247,1224,1218,711,696
"B1-0",21868,8883,8710,8739,8037,7242
"B1-15",20764,14700,14667,14665,14438,13577
"B1-21",69829,30480,30374,30363,29425,26457
"B1-3",31636,1145,1086,1074,495,470
"B1-6",38264,1138,1107,1121,610,577
"B2-0",37746,31360,31272,31268,30292,27288
"B2-15",23654,17202,17099,17105,16390,13575
"B2-21",12259,11074,11020,11030,10850,10480
"B2-3",30297,1241,1199,1178,704,686
"B2-6",34035,1504,1475,1468,941,884
"B3-0",10607,5396,5305,5335,5176,4623
"B3-15",15913,10941,10864,10842,10607,10028
"B3-21",16899,15017,14935,14963,14745,13636
"B3-3",11846,942,914,916,680,631
"B3-6",12135,979,955,965,774,653
"C1-0",27847,20418,20362,20397,19928,17399
"C1-15",22890,15899,15793,15812,15472,13925
"C1-21",11727,9813,9764,9760,9617,9272
"C1-3",24692,1324,1293,1295,808,724
"C1-6",65427,1892,1865,1852,744,707
"C2-0",108,38,22,24,22,22
"C2-15",24924,22087,21898,21860,21128,17566
"C2-21",64478,54942,54613,54713,53136,44951
"C2-3",22518,1441,1382,1382,858,817
"C2-6",34940,6827,6806,6816,6089,5756
"C3-0",68506,29076,29000,29020,28377,27037
"C3-15",5181,3660,3616,3600,3497,3151
"C3-21",30564,25795,25514,25522,24035,18348
"C3-3",37369,1172,1131,1111,288,277
"C3-6",55561,11282,11216,11105,10095,8279
"D1-0",31113,19090,19019,18957,18648,17742
"D1-15",25511,16901,16788,16763,16478,14835
"D1-21",8120,6808,6762,6778,6717,6445
"D1-3",43222,1499,1471,1466,763,744
"D1-6",18004,369,357,358,28,28
"D2-0",35908,18472,18422,18421,18073,17909
"D2-21",28899,26244,26154,26126,25777,22950
"D2-3",52444,6355,6330,6283,5379,5310
"D2-6",15650,836,823,813,482,482
"D3-0",33698,26623,26575,26572,26304,26252
"D3-15",40990,23608,23440,23424,21757,18859
"D3-21",6776,5486,5372,5298,4892,4116
"D3-3",34758,26794,26396,26432,25188,15391
"D3-6",16587,760,736,746,435,364
"E1-0",37113,27629,26854,26989,24787,20332
"E1-15",12914,8458,8398,8396,8151,7459
"E1-21",10555,7155,7131,7132,6957,6479
"E1-3",14810,870,854,856,625,575
"E1-6",53660,1437,1414,1405,575,503
"E2-0",21491,8475,8424,8436,8127,7512
"E2-15",13566,11090,10935,10917,10345,7873
"E2-21",8855,7751,7701,7649,7450,5719
"E2-3",45606,2699,2663,2660,1800,1713
"E2-6",618494,19525,19307,19359,9382,8580
"E3-0",60894,42622,42510,42541,41984,40095
"E3-15",32616,26047,25562,25643,23446,11164
"E3-21",19820,16926,16699,16728,15638,12602
"E3-3",24760,8406,8380,8366,8044,7723
"E3-6",18656,487,473,474,105,105
