"","input","filtered","denoisedF","denoisedR","merged","nochim"
"914",264,212,208,205,187,187
"A-0-1-1",49037,22912,22755,22566,19910,19595
"A-0-1-2",50063,23169,23031,22873,20167,19574
"A-0-1-3",62433,27518,27411,27175,24861,24635
"A-0-2-1",33385,15080,14835,14887,13277,13277
"A-0-2-2",35816,16742,16639,16441,14405,14271
"A-0-2-3",22666,10282,10194,9981,8796,8706
"A-0-3-1",30859,15067,14950,14763,13481,13339
"A-0-3-2",51371,23434,23300,23142,20304,19806
"A-0-3-3",18581,8302,8284,8217,8051,7963
"A-12-1-1",26249,18823,18808,18424,18010,18010
"A-12-1-2",26273,18450,18386,17986,16887,16802
"A-12-1-3",13442,9756,9741,9531,8807,8807
"A-12-2-1",21524,15216,15192,15076,14912,14870
"A-12-2-2",36683,26308,26276,26087,25734,25697
"A-12-2-3",14265,10142,10113,10055,9993,9980
"A-12-3-1",18276,12620,12561,12501,11589,9786
"A-12-3-2",15700,11299,11261,11188,10686,10042
"A-15-1-1",30788,20041,19936,19885,18129,16530
"A-15-1-2",30689,18743,18654,18567,17058,15035
"A-15-1-3",20341,13403,13314,13311,12246,11320
"A-15-2-1",29189,20796,20771,20650,19378,19074
"A-15-2-2",15801,10265,10206,10179,8943,8257
"A-15-2-3",29675,18312,18262,18146,16636,15131
"A-15-3-1-2",29318,18839,18628,18666,16364,14029
"A-15-3-2",38502,23726,23552,23503,20949,17270
"A-15-3-3",44021,28883,28799,28676,25691,21518
"A-3-1-1",21858,10819,10778,10706,9951,9872
"A-3-1-2",28075,15284,15267,15138,15036,14739
"A-3-1-3",34806,15631,15376,15261,12877,12455
"A-3-2-1",19198,9633,9548,9544,8662,8617
"A-3-2-2",24706,13571,13555,13410,12595,12564
"A-3-2-3",17549,9420,9407,9311,8679,8679
"A-3-3-1",17891,9502,9481,9396,9166,9166
"A-3-3-2",29150,11789,11747,11604,10463,10463
"A-3-3-3",20834,10493,10447,10117,9445,9342
"A-6-1-1",19834,10395,10388,10304,9848,9848
"A-6-1-2",20275,11117,11085,11027,10253,10253
"A-6-1-3",10128,5873,5862,5802,5638,5638
"A-6-2-1",15347,8243,8232,8132,7923,7923
"A-6-2-2",27077,15297,15276,15055,13798,13794
"A-6-2-3",26545,15734,15702,15548,14678,14678
"A-6-3-1",7967,4908,4894,4761,4566,4566
"A-6-3-2",16818,10173,10124,10061,9553,9553
"A-6-3-3",29135,9109,9102,9009,8430,8430
"B-0-1-1",27964,13156,13071,12966,11682,11603
"B-0-1-2",31043,14383,14274,14040,12888,12804
"B-0-1-3",34887,16464,16352,16228,14613,14534
"B-0-2-1",16596,8025,7989,7878,7548,7545
"B-0-2-2",16725,8123,8068,7940,7168,7161
"B-0-2-3",30054,13747,13713,13610,12765,12765
"B-0-3-1",33027,15258,15229,15156,13654,13654
"B-0-3-2",24370,11580,11460,11232,9869,9787
"B-0-3-3",21685,9834,9710,9502,8492,8456
